"fileName","imgPalette1","imgPalette2"
"100029_1249455.jpg","#653838","#C6A9A4,#513536,#3E0103"
"100042_1131842.jpg","#725F5E","#FBFBFB,#AD655F,#0F0E0E"
"100050_745853.jpg","#B5B3B5","#ADC4C6,#5C445C,#E3E0D6"
"100054_745855.jpg","#472A2B","#B58F85,#501119,#0B0406"
"100065_189090.jpg","#4C4040","#D6A675,#1D3061,#1E1414"
"100133_128671.jpg","#615744","#CFC39F,#8A714C,#131212"
"100134_182364.jpg","#5B606A","#B9BECC,#738496,#1E1F22"
"100140_93752.jpg","#948C9E","#FAEAEA,#ABABC5,#544B63"
"100142_890715.jpg","#AAAAAB","#878788,#373738,#F4F4F5"
"1001508_286053.jpg","#6F675F","#E1C4B0,#9BA493,#201A1B"
"100150_155015.jpg","#66634C","#939383,#786D40,#454334"
"1001526_472097.jpg","#C4A848","#F5DC76,#49597B,#E9B516"
"100157_157927.jpg","#414557","#B4BECC,#153263,#1D1215"
"100168_348689.jpg","#633F2F","#CAA35D,#772C2A,#24161B"
"100196_547745.jpg","#844F47","#D59187,#C05D48,#3B2524"
"100201_975950.jpg","#6E5E7E","#63375C,#141230,#9E96B5"
"100211_474264.jpg","#48352F","#9D9893,#571E0F,#150D0A"
"100240_749083.jpg","#C1B8A9","#D9B58A,#595D58,#E8E7E0"
"100258_532109.jpg","#8D7272","#DEE3E3,#BBBEB6,#4C1215"
"100301_745743.jpg","#C3BFB6","#DFDBD0,#484842,#EDE7DF"
"1003034_428204.jpg","#9F8C85","#68523A,#270F0E,#F7E6E5"
"1003118_483043.jpg","#93AAD0","#F1F8FE,#D7E2F0,#4166A8"
"100395_559364.jpg","#B38E8B","#C55F3A,#5A2B34,#D7D6DD"
"100403_235381.jpg","#373747","#AFA5B2,#1B2856,#090709"
"100404_87792.jpg","#91857F","#8A5E46,#171314,#D1D1D0"
"100405_1151056.jpg","#C1A4A4","#8E7F6C,#72051C,#FBFBFB"
"100419_946778.jpg","#BAC1B6","#F1EDE3,#B8D8E0,#9E9E8A"
"100449_352255.jpg","#C9C3C0","#FAFBFB,#F3EEE3,#978D8D"
"100485_207073.jpg","#B2A9A3","#B99D8E,#34231F,#ECEFED"
"100507_276488.jpg","#807A7F","#E3F2F4,#908DA8,#44322E"
"100530_93762.jpg","#48373B","#BE9A98,#522325,#070F16"
"100594_93391.jpg","#F6AB82","#FE9B5E,#DF7A45,#FBCAAF"
"100666_216099.jpg","#414E68","#252740,#0B0F19,#6981A2"
"100680_93403.jpg","#BCA791","#B89584,#503F3E,#F3E3C1"
"100740_306195.jpg","#543949","#A5838C,#282C46,#3F1726"
"100758_956723.jpg","#2F4E4E","#92B1AE,#0C6567,#0E1010"
"100802_107259.jpg","#192E39","#4D839B,#0B1521,#040A0E"
"100814_540512.jpg","#614835","#D0B38F,#7E5027,#1B0E0D"
"100828_1140948.jpg","#8A898D","#E0DDD7,#B9BAB6,#474654"
"100911_311137.jpg","#BFA4A2","#D79C89,#4F222C,#EBE9E8"
"100928_546313.jpg","#423A2B","#AD9E86,#432D18,#0B0C07"
"100934_1058851.jpg","#604340","#BC9C97,#6C3C33,#2B1A1A"
"100944_276084.jpg","#84777C","#E7E7E6,#B6AFAD,#36202C"
"100994_774590.jpg","#433F43","#8C91A1,#4C352F,#19191D"
"1010048_762284.jpg","#453638","#2E2307,#060406,#6D5769"
"1010278_483706.jpg","#CBBDB2","#D0B9A0,#63473A,#FCFAF7"
"101272_180688.jpg","#746D78","#4C3C40,#0D0910,#BBB6C7"
"101301_804632.jpg","#B5ADAA","#D1E4E7,#D5A190,#969797"
"101329_95944.jpg","#B08D82","#C56A37,#4A2528,#D8D3D5"
